name,specialization,city,experience,rating,phone,email,formattedAddress
"Dr. Syed Fayyaz Ahmed Shah","Cardiologists","Rawalpindi",6,4,"03230-3400636","dr..syed.fayyaz.ahmed.shah60@diagnoai.com","Ahmad Medical Complex, Medicine & Cardiology Department                70-C Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi"
"Prof Dr Khalid Javed Rabbani","Urologists","Lahore",16,4.7,"03759-3159364","prof.dr.khalid.javed.rabbani210@diagnoai.com","Surgimed Hospital. 1-Zafar Ali Road, Lahore.   Gulberg IV, , Lahore"
"Dr Syed Mahmood ul Haq","Cardiologists","karachi",8,4,"03114-9066966","dr.syed.mahmood.ul.haq89@diagnoai.com","South City Hospital                 Street No. 1, Block 3, Shahrah-e-Firdousi, Clifton, Karachi.  Clifton , karachi"
"Dr. Samia Amer","Radiologist","Rawalpindi",13,3.9,"03682-3304326","dr..samia.amer11@diagnoai.com","Habibi Care & Cure Clinic                House # 26, Street # 03, Khan Avenue, Chaklala Scheme III, Rawalpindi.  Chaklala Scheme III , Rawalpindi"
"Dr Shahid Aslam","Pediatricians","Lahore",3,3.9,"03619-2990935","dr.shahid.aslam969@diagnoai.com","Doctors Hospital & Medical Centre                152/G 1, Johar Town, Lahore.  Johar Town , Lahore"
"Dr Nazli Hussain","Gynecologists","karachi",7,3.6,"03557-7132352","dr.nazli.hussain859@diagnoai.com","Saifee Hospital.                ST-1, Block-F, North Nazimabad, Karachi.   North Nazimabad , karachi"
"Dr. Syed Ali Naqi","ENT Specialist","Rawalpindi",13,3.7,"03137-1651252","dr..syed.ali.naqi271@diagnoai.com","Ahmad Medical Complex                ENT Department70-C Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi"
"Professor Muhammad Mussadiq Khan","Cardiologists","Islamabad",9,3.5,"03940-2718155","professor.muhammad.mussadiq.khan456@diagnoai.com","18-B, Luqman Hakeem Road, G 6/3, Islamabad.   G 6 , Islamabad"
"Dr Maroof Aziz","ENT Specialist","Lahore",22,3.7,"03111-4546849","dr.maroof.aziz378@diagnoai.com","Mid City Hospital                 3-A Shadman II, Jail Road Opposite Kinaird College,Lahore, Punjab, Pakistan   Shadman  , Lahore"
"Prof. Zubair Ahmed","ENT Specialist","Lahore",10,3.9,"03862-8393295","prof..zubair.ahmed668@diagnoai.com","SURGIMED HOSPITAL                 ENT Clinic ((Basement)  1-Zafar Ali Road , Lahore"
"Dr Javed Waseem","Skin Specialists | Dermatologists","karachi",4,3.9,"03600-8088277","dr.javed.waseem893@diagnoai.com","Skin & Laser Clinic                C-4 & 5, Adj. Aga Khan Lab, Hilal-e-Ahmer Road, Teen Talwar, Clifton, Karachi.  Clifton , karachi"
"Dr Haseeb Sajjad","Skin Specialists | Dermatologists","Lahore",21,4.2,"03240-4350535","dr.haseeb.sajjad905@diagnoai.com","Lahore Skin Clinic                Canal Service Road, Gulberg 5, Lahore.  Gulberg 5 , Lahore"
"Consultant Interventional Cardiologist Dr Zameer ul Asar","Cardiologists","Lahore",19,4.2,"03700-7739897","consultant.interventional.cardiologist.dr.zameer.ul.asar8@diagnoai.com","Alrazi Healthcare hospital                  MM Alam Road , Lahore"
"Dr. Savaid Abbas Mirza","Orthopaedics","Rawalpindi",7,5,"03389-7470416","dr..savaid.abbas.mirza253@diagnoai.com","Ahmad Medical Complex                70-C Satellite Town, Sadiqabad Road   Satellite Town , Rawalpindi"
"Dr. Nadeem Ahmed Khan Niazi","Skin Specialists | Dermatologists","Rawalpindi",10,4.9,"03816-5650339","dr..nadeem.ahmed.khan.niazi206@diagnoai.com","Skin & Skin Clinic                 3-Chohan Plaza, Main Airport Road, Opp, Askari-10, Rawalpindi.  Askari-10 , Rawalpindi"
"Dr. Umair Ahmed","Skin Specialists | Dermatologists","Rawalpindi",6,3.6,"03663-8032253","dr..umair.ahmed7@diagnoai.com","Rasheeda Zafar Hospital                Behind Jan Hall, Kybane-Tanveer, Chaklala Scheme III, Rawalpindi  Chaklala Scheme III , Rawalpindi"
"Prof Dr Muhammad Siddiq","Psychiatrist","karachi",5,4.5,"03409-5374384","prof.dr.muhammad.siddiq133@diagnoai.com","Faran Institute Of Behavioural Sciences                24-E, 21st Commercial Sreet,DHA Phase 2 Extension, near Rahat Milk Corner. Karachi.  DHA Phase 2  , karachi"
"Farhan Khan","Dentist","karachi",11,4.8,"03872-1416210","farhan.khan199@diagnoai.com","Smile Savers                153-A ,SMCHS ,Karachi Pk-74400   , karachi"
"Dr Tayyaba Waseem","Gynecologists","Lahore",6,4.6,"03691-9432840","dr.tayyaba.waseem9@diagnoai.com","Mid City Hospital                3-A Shadman II, Jail Road. Opposite Kinaird College, Lahore.  Shadman  , Lahore"
"Professor and Director of Non-Invasive Cardiology Dr Syed Zahid Rasheed","Cardiologists","karachi",21,4.5,"03640-2407509","professor.and.director.of.non.invasive.cardiology.dr.syed.zahid.rasheed508@diagnoai.com","karachi institute of heart diseases                ST-15, Block-16, Near UBL Sports Complex, Federal B. Area, Karachi.  Federal B Area , karachi"
"Majid Dastgir","ENT Specialist","Quetta",19,4.5,"03282-2067362","majid.dastgir706@diagnoai.com","FC Hospital Quetta                nawan killi road, Quetta, Pakistan  Nawan killi road , Quetta"
"Brig (R) Prof. Dr. M. Sultan Muzaffar","Cardiologists","Rawalpindi",13,4.6,"03608-8373453","brig..r..prof..dr..m..sultan.muzaffar211@diagnoai.com","110-Tameez-ud-Din Road.Near CMH Rawalpindi.  Tameez-ud-Din Road , Rawalpindi"
"Dr Prof. Javed Akram","Medical Specialist","Lahore",11,4.7,"03206-5514455","dr.prof..javed.akram550@diagnoai.com","Akram Medical Complex                2-B, Main Gulberg, Lahore.  Gulberg  , Lahore"
"Dr Nasir Sulaiman","Urologists","karachi",8,5,"03214-6651747","dr.nasir.sulaiman624@diagnoai.com","South City Hospital                 Street No. 1, Block 3, Shahrah-e-Firdousi, Clifton, Karachi.  Clifton , karachi"
"Dr Tahir Kamal","Skin Specialists | Dermatologists","Lahore",10,3.6,"03174-5646389","dr.tahir.kamal688@diagnoai.com","Skin Life Clinic                 Link-2, Street-1, Near CSD, 26-Cavalary Ground, Lahore.  Cavalary Ground , Lahore"
"Dr Naeem Iqbal","Skin Specialists | Dermatologists","karachi",21,3.8,"03257-7168857","dr.naeem.iqbal800@diagnoai.com","SESSI Landhi Hospital                Adamjee Road, Opp. KDA Sub-Office, Landhi, Karachi.   Landhi , karachi"
"Dr. Abdus Samad","Cardiologists","karachi",18,4.5,"03414-1667633","dr..abdus.samad827@diagnoai.com","308 Clifton Center Block-5 Schon Circle, Clifton, Karachi.  Clifton , karachi"
"Dr Riaz Ahmad Qamar","Skin Specialists | Dermatologists","Jhelum",10,4.5,"03924-5820608","dr.riaz.ahmad.qamar110@diagnoai.com","Skin Care Clinic                 Soldier Plaza Civil Lines Jhelum.   Civil Lines , Jhelum"
"HAPPY TEETH Dental Clinic in Wah Cantt","Dentist","Islamabad",11,4.6,"03395-6952830","happy.teeth.dental.clinic.in.wah.cantt759@diagnoai.com","HAPPY TEETH                Post Office Road,Lala Rukh, Wah Cantt  Wah Cantt , Islamabad"
"Dr Parveen Kanji","Gynecologists","karachi",14,4.8,"03836-1286803","dr.parveen.kanji530@diagnoai.com","South City Hospital                 Street No. 1, Block 3, Shahrah-e-Firdousi, Clifton, Karachi.  Clifton , karachi"
"Dr. Hina Noon","Dentist","Rawalpindi",15,4.8,"03773-7719025","dr..hina.noon689@diagnoai.com","Khurram Dental Centre                Hourse # 317, Street # 14, Chaklala Scheme III, Rawalpindi.  Chaklala Scheme III , Rawalpindi"
"Dr Samina Saleem","Gynecologists","karachi",15,4.2,"03390-9920771","dr.samina.saleem687@diagnoai.com","PATEL HOSPITAL                ST-18, Block-4, Gulshan-e-Iqbal, Karachi.   Gulshan-e-Iqbal , karachi"
"Dr. H. A. Khawaja","Plastic & Aesthetic Surgeon","Lahore",19,4.1,"03505-6647464","dr..h..a..khawaja405@diagnoai.com","osmetic Plastic Surgery & Skin Center                53-B/2, M.M Alam Road, Gulberg III, Lahore  Gulberg III , Lahore"
"Dr. Azeem Alam Khan","Skin Specialists | Dermatologists","Islamabad",7,3.5,"03749-2319593","dr..azeem.alam.khan993@diagnoai.com","Ali Medical Centre                Kohistan Road, F8 Markaz, Islamabad.   F-8 , Islamabad"
"Karachi hair dermatologist Naveed","Skin Specialists | Dermatologists","N/A",16,3.5,"03531-7456116","karachi.hair.dermatologist.naveed28@diagnoai.com","N/A"
"Dr. Shahzad Saeed Sheikh","Ophthalmologist","Lahore",13,4.3,"03228-9017462","dr..shahzad.saeed.sheikh458@diagnoai.com","Naz Hospital                Eye Department6-Shadman Link Road, Lahore.  Shadman  , Lahore"
"Dr Saadia Virk Rizvi","Gynecologists","karachi",22,3.7,"03804-1521121","dr.saadia.virk.rizvi800@diagnoai.com","South City Hospital                Street 1, Block 3, Sharah-e-Firdous, Clifton, Karachi.  Clifton , karachi"
"Dr Umar Kaleem","Medical Specialist","N/A",18,3.5,"03745-3497560","dr.umar.kaleem721@diagnoai.com","N/A"
